subj,session,time,person,chat,form,gloss,obj,gs_rel,context,spoken_obj,gestured_obj,referent,comments
43,5,,child,can I share with you ?,,,,,,,,,
43,5,,parent,you going to share with me ?,,,,,,,,,
43,5,,parent,is that what you said ?,,,,,,,,,
43,5,,child,can I share with you ?,,,,,,,,,
43,5,,parent,"yes, you can share with me .",,,,,,,,,
43,5,,parent,we can go outside .,,,,,,,,,
43,5,,child,let me come .,,,,,,,,,
43,5,,child,let me +...,,,,,,,,,
43,5,,parent,Lincoln .,,,,,,child,,child,
43,5,,parent,put your hand on the railing .,,,,,,hand; railing,,hand; railing,
43,5,,child,&xxx Lilia &xxx outside .,,,,,,,,,
43,5,,parent,"yeah, she's going to come too .",,,,,,,,,
43,5,,child,how_about Lilia too ?,,,,,,,,,
43,5,,parent,I'm going to put this in the trash .,,,,,,garbage,,garbage,
43,5,,child,it is &xxx .,,,,,,,,,
43,5,,child,"Lilia, I'm digging .",,,,,,,,,
43,5,,child,digging .,,,,,,,,,
43,5,,child,I'm digging .,,,,,,,,,
43,5,0:09:04,child,I'm digging .,,,,,,,,,
43,5,,child,Thomas .,,,,,,,,,
43,5,,child,I can go in &xxx .,,,,,,,,,
43,5,,child,in that .,,,,,,,,,
43,5,,child,can I sit in +...,,,,,,,,,
43,5,,parent,yeah .,$,,,,,,,,
43,5,,child,dump+truck with you ?,,,,,,dumptruck,,dumptruck,
43,5,,child,can I sit in dump+truck with you ?,,,,,,dumptruck,,dumptruck,
43,5,,child,can I sit this with you ?,,,,,,,,,
43,5,0:09:31,child,,hold,take truck,truck,Only Gesture,,,,,
43,5,0:09:31,parent,thank+you .,palm,give truck,truck,Add,,,truck,truck,
43,5,,parent,&oh oops .,,,,,,,,,
43,5,,parent,water in here .,,,,,,water,,water,
43,5,,parent,"thank+you, Lincoln .",,,,,,child,,child,
43,5,,parent,go like this .,,,,,,,,,
43,5,,parent,wipe them on my pants .,,,,,,pants,,pants,
43,5,,parent,there .,,,,,,,,,
43,5,,parent,all dry .,,,,,,,,,
43,5,,parent,is there some water in here ?,,,,,,water,,water,
43,5,,parent,I think this is from the sprinkler last night .,hold,truck filled with water,truck filled with water,Disambiguate,,sprinkler,truck; water,sprinkler; truck; water,
43,5,0:09:48,parent,can I dump it ?,hold~,truck filled with water,truck filled with water,Disambiguate,,,truck; water,truck; water,
43,5,,child,yes .,,,,,,,,,
43,5,,parent,a little muddy over here too .,,,,,,,,,
43,5,,parent,here .,,,,,,,,,
43,5,,parent,you play in the dry area .,,,,,,,,,
43,5,,parent,see ?,,,,,,,,,
43,5,0:10:00,parent,this is dirt .,point,dirt on ground,dirt on ground,Reinforce,,dirt,dirt,dirt,
43,5,0:10:02,parent,and this is muddy .,point,muddy ground,muddy ground,Reinforce,,,,,
43,5,,parent,"when dirt gets wet, it becomes muddy .",,,,,,,,,
43,5,,child,how_about Lilia ?,,,,,,,,,
43,5,,child,cheese .,,,,,,cheese,,cheese,
43,5,,child,cheese .,,,,,,cheese,,cheese,
43,5,,child,cheese .,,,,,,cheese,,cheese,
43,5,,child,cheese .,,,,,,cheese,,cheese,
43,5,,child,cheese .,,,,,,cheese,,cheese,
43,5,,child,cheese .,,,,,,cheese,,cheese,
43,5,,parent,are you smiling for the camera ?,$,,,,,camera,,camera,
43,5,,child,cheese .,,,,,,cheese,,cheese,
43,5,,child,cheese .,,,,,,cheese,,cheese,
43,5,,parent,cheese .,$,,,,,cheese,,cheese,
43,5,,parent,you going to play with your trucks ?,$,,,,,truck,,truck,
43,5,,child,can +...,,,,,,,,,
43,5,0:11:06,child,I looking at the camera .,,,,,,camera,,camera,
43,5,,parent,I know you are .,,,,,,,,,
43,5,,parent,I see that .,,,,,,,,,
43,5,,child,cheese .,,,,,,cheese,,cheese,
43,5,,child,cheese .,,,,,,cheese,,cheese,
43,5,,child,cheese .,,,,,,cheese,,cheese,
43,5,,parent,cheese .,,,,,,cheese,,cheese,
43,5,,child,cheese .,,,,,,cheese,,cheese,
43,5,,child,cheese .,,,,,,cheese,,cheese,
